Original Sentence,Causal Text,Normalized Causal,Relation,Effect Text,Normalized Effect,Count
Having a bigger family size also increase the likelihood to be exposed to the insurance program .,Having bigger family,having bigger family,PROMOTE,likelihood be exposed insurance program,likelihood be exposed insurance program,1
"The probability to adopt the insurance program is increased by a higher production cost , a presence of market and institutional risks in wet season .",higher production cost,higher production cost,PROMOTE,probability adopt insurance program,probability adopt insurance program,2
"The probability to adopt the insurance program is increased by a higher production cost , a presence of market and institutional risks in wet season .",higher production cost,higher production cost,PROMOTE,probability adopt insurance program,probability adopt insurance program,2
The existence of agricultural insurance secures income and facilitates access to credit and market by contributing to the development of more intensive systems and therefore to the improvement of productivity ( Lagandr é & Chetaille 2010 ) .,contributing development more systems,contributing development system,PROMOTE,access credit market,access credit market,1
"Conversely , adoption of the “ full ” ASRI system is unlikely due to heavy demands for multiple weedings and labor bottlenecks .",demands weedings labor bottlenecks,demand weedings labor bottleneck,PROMOTE,adoption full ASRI system,adoption asri system,1
"Because each system offered unique advantages and disadvantages , they proposed testing an additional treatment employing what they considered to be each system ’s most useful components .",system offered unique advantages disadvantages,system offered advantage disadvantage,PROMOTE,proposed treatment employing,proposed treatment employing,1
"Higher weed biomass in FP plots was probably caused by a combination of poor land leveling , the late application of low concentrations of herbicides on fields that were incompletely drained , and insufficient hand weeding .",late application herbicides fields,application herbicide field,INHIBIT,weed biomass plots,weed biomass plot,1
"While higher weed biomass in FASRI did not reduce yield compared to RMP ( Table 1 ) , less than ideal weed control occurred because two farmers applied herbicides before",farmers applied herbicides,farmer applied herbicide,PROMOTE,weed biomass did yield compared RMP Table less ideal weed control occurred,weed biomass did yield compared rmp table le weed control occurred,1
"A strategic and thoughtful combination of interventions — — from the diffusion of appropriate technologies to informing national policy — — has allowed a wider circle of market actors to participate in the rice value chain , bringing jobs and economic growth to a country that ’s highly dependent on the success of its agriculture sector .",strategic thoughtful interventions diffusion technologies informing national policy,intervention diffusion technology informing policy,PROMOTE,wider circle market actors participate rice value chain bringing jobs economic growth country,wider circle market actor participate rice value chain bringing job growth country,1
"The emergence of a national rice industry is sparking renewed interest in agriculture for young people , with the potential for new jobs , the introduction of new technologies and machinery , and a modern take on agriculture .",emergence national rice industry,emergence rice industry,PROMOTE,renewed interest agriculture young people,renewed interest agriculture people,1
"Recent initiatives in upgrading the rice value chain have led to the constraint of insufficient supply of paddy rice in the SRV , implying that investment in local rice productivity — — in order to scale up local production — — is crucial at this stage of development .",Recent initiatives upgrading rice value chain,initiative upgrading rice value chain,INHIBIT,insufficient supply paddy rice SRV,supply rice srv,2
"Coping with adversity is difficult in the SRV as irrigation schemes often need rehabilitation because of land levelling problems , poor conditions of irrigation canals and inadequate land prepara - tion .",land levelling problems,land levelling problem,PROMOTE,irrigation schemes need rehabilitation,irrigation scheme need rehabilitation,2
"In irrigated rice production in the SRV , pre - emergence herbicide application substantially facilitates manu - al weeding labour by reducing initial weed infestation levels ( Demont et al. 2009 ; Rodenburg and Johnson 2009 ) .",pre emergence herbicide application,pre emergence herbicide application,PROMOTE,al weeding labour,al weeding labour,2
"We found that due to the exacerbation of biological and institutional constraints in the SRV , rice growers had difficulties in maintaining productivity of their land .",biological institutional SRV rice growers had maintaining productivity,srv rice grower had maintaining productivity,PROMOTE,biological institutional SRV rice growers had maintaining productivity,srv rice grower had maintaining productivity,2
"Another cause of delays in rice planting , which can stretch over multiple seasons , is the irregular availability of machinery for soil preparation and post-harvest operations .",irregular availability machinery soil preparation post-harvest operations,availability machinery soil preparation operation,PROMOTE,delays rice planting,delay rice planting,2
There were fewer towns and cities in the southern colonies because farming took a lot of land that was spread apart .,farming took lot land,farming took lot land,PROMOTE,fewer towns cities colonies,fewer town city colony,1
"Of course , government input subsidies to farmers also allow multinational seed and fertiliser producers to keep their prices high .",government input subsidies farmers,government input subsidy farmer,PROMOTE,multinational seed fertiliser producers keep,seed fertiliser producer keep,1
"By setting aside land in its irrigation projects for national investors , MCC is reducing elite-based opposition to large-scale land transfers by making sure that there will be medium-sized parcels of irrigated land reserved for ‘ commercial farmers ’ , i.e. pol - itical , military and religious leaders , civil servants , businessmen .",setting land irrigation projects national investors,setting land irrigation project investor,INHIBIT,elite-based opposition large-scale land transfers,opposition land transfer,1
The POAS process of community-based land-use planning has been very popular in the Senegal River Valley because it builds on traditional patterns of land use and land sharing between farmers and pastoralists that have been successfully used for centu - ries .,builds patterns land land sharing,build pattern land land sharing,PROMOTE,POAS process community-based land-use planning,poa process land-use planning,1
"In the most productive rice-growing areas , the migration of young men to Dakar and other large cities have caused the neglect and eventual collapse of the dikes protecting the mangrove-recovered fields .",migration young men cities,migration men city,INHIBIT,neglect eventual dikes protecting mangrove-recovered fields,neglect dike protecting field,1
Their experience clearly shows that the farming confidence and familiarity of the past can help people become engaged in new undertakings with the self-confidence and determination that underscores substantial achievements .,farming confidence familiarity,farming confidence familiarity,PROMOTE,people become engaged new undertakings self-confidence determination,people become engaged undertaking self-confidence determination,1
"However , the national rice production level is far from meeting the domestic demand largely due to the poor performance of farmers in rice production and productivity .",performance farmers rice productivity,performance farmer rice productivity,INHIBIT,national rice is meeting domestic demand,rice is meeting demand,1
"The averag farming ag gender , m consistent 62.69 % o informatio improved rice farme basin com improved becomes a According size house farming an cultivation 46.15 % .",averag farming ag gender,averag farming gender,PROMOTE,rice farme basin com,farme basin com,1
"• Distinguished from mixed crop and livestock farming , because crops are grown primarily for human consumption .",crops are grown human consumption,crop are grown consumption,PROMOTE,Distinguished mixed crop livestock farming,distinguished crop livestock farming,1
Countries – Subsistence farmers must feed an increasing number of people because of rapid population growth in developing countries .,rapid population growth developing countries,population growth developing country,PROMOTE,Subsistence farmers feed people,subsistence farmer feed people,1
Countries – Subsistence farmers must grow food for export instead of for direct consumption due to the adoption of the international trade approach to development .,adoption international trade development,adoption trade development,PROMOTE,Countries Subsistence farmers grow food export direct consumption,country subsistence farmer grow food export consumption,1
"On average , rice farms vary in size between 0.25 to two HA ; farmers in the SRV generally cultivate on a larger area because they have access to tractors and other farm equipment .",have access tractors farm equipment,have access tractor farm equipment,PROMOTE,farmers cultivate larger,farmer cultivate larger,1
"Due to the import ban imposed in 2017 on zero percent broken and semi-broken rice ( 35-60 percent broken ) ( please see Policy section ) , importers currently only purchase 100 percent broken rice ( 98 percent is non-aromatic and two percent is aromatic ) .",import ban imposed,import ban imposed,PROMOTE,importers purchase broken rice is non-aromatic is aromatic,importer purchase broken rice is is,1
"de Vries et al. [ 3 ] reported a paddy yield range of 2.3–11.8 t ha−1 under WAD treatments and 3.7–11.7 t ha−1 under CF , and indicated that AWD irrigation regimes resulted in the highest yields in the WS in the Senegal River Valley and Delta , while during the HDS , the CF treatment out-yielded the AWD treatment , with the exception of AWD in the River valley .",AWD irrigation regimes,awd irrigation regime,PROMOTE,yields WS Senegal Valley,yield w senegal valley,2
"However , the technology practices are challenging due to differences in soil type , rice genotype , climate , management practices , and other factors .",soil rice genotype climate management practices,soil rice genotype climate management practice,PROMOTE,technology practices are,technology practice are,2
Inter-seasonal variability observed in rice genotype yield response to nitrogen rate even in the same environment might be due to the inﬂuence of climatic factors and management practices on nitrogen-yield relationship .,influence climatic management practices nitrogen-yield relationship,management practice relationship,PROMOTE,Inter-seasonal variability observed rice genotype yield response nitrogen same environment,variability observed rice yield response nitrogen environment,1
"However , the technology practices are challenging due to differences in soil type , rice genotype , climate , management practices , and other factors .",soil rice genotype climate management practices,soil rice genotype climate management practice,PROMOTE,technology practices are,technology practice are,2
"de Vries et al. [ 3 ] reported a paddy yield range of 2.3–11.8 t ha−1 under WAD treatments and 3.7–11.7 t ha−1 under CF , and indicated that AWD irrigation regimes resulted in the highest yields in the WS in the Senegal River Valley and Delta , while during the HDS , the CF treatment out-yielded the AWD treatment , with the exception of AWD in the River valley .",AWD irrigation regimes,awd irrigation regime,PROMOTE,yields WS Senegal Valley,yield w senegal valley,2
"This alignment at the highest levels of government policy facilitated several critical partnerships for PCE and other donor efforts , such as with SAED , CNCAS , and CNAAS .",alignment government policy,alignment government policy,PROMOTE,several partnerships PCE donor,partnership pce donor,1
"Senegal experienced a huge increase in imported rice prices in 2007–2008 as well as difficulty getting the necessary import quantities because of export bans by major rice exporters like China , India , and Thailand .",export bans rice exporters,export ban rice exporter,INHIBIT,getting necessary import quantities,getting import quantity,1
"At the same time , because of recent requirements that importers must make domestic purchases in proportion to their imports , many millers complain that they cannot get enough paddy rice to meet demand .",recent requirements importers make domestic purchases imports millers complain,requirement importer make purchase import miller complain,PROMOTE,recent requirements importers make domestic purchases imports millers complain,requirement importer make purchase import miller complain,1
"At that point the cumulative effects of these multiple efforts reached critical mass in both scale and scope , along with the equally important debt forgiveness of 2014 .",reached scale scope,reached scale scope,PROMOTE,reached scale scope,reached scale scope,1
"Yet in most years significantly less than half of farmers had access to credit , in large part because of their inability to repay previous credit .",inability repay previous credit,inability repay credit,PROMOTE,most less half farmers had access credit,most le half farmer had access credit,1
"” This indebtedness has impeded not only farmers ’ access to semi-annual financing for the rice seasons , but also their ability to buy additional agricultural equipment when needed ( i.e ., tractors ) .37",farmers access financing rice seasons,farmer access financing rice season,INHIBIT,buy agricultural equipment needed,buy equipment needed,1
"The GOS program , combined with the efforts of Locafrique , led to an enormous expansion of the availability of machinery services in the SRV and has largely eliminated delays and shortages .",GOS program combined,go program combined,PROMOTE,enormous expansion availability machinery services,expansion availability machinery service,1
"Matam and especially Bakel historically contributed little to SRV rice production , mostly because of the lack of irrigation and value chain infrastructure , and the soil is less suitable for rice , and more suitable for onions , tomatoes , and other horticulture crops which are also more profitable .",irrigation value chain infrastructure,irrigation value chain infrastructure,INHIBIT,Matam contributed little SRV rice,matam contributed srv rice,1
"GOS policy improved profitability significantly for farmers and lowered risks changing the risk-return tradeoff through regulating prices , supporting demand for domestic rice , and the role of",GOS policy profitability,go policy profitability,INHIBIT,risks risk-return tradeoff regulating,risk tradeoff regulating,1
"Sorting milled rice resulted in net additional beneﬁts for rice millers , especially in the DS , due to a higher head rice ratio .",Sorting milled rice,sorting milled rice,PROMOTE,net benefits rice millers DS,rice miller d,1
"Sorting milled rice from farmers who applied a third N split ( T1 ) resulted in net additional beneﬁts of about 69,000 in the WS and 77 000 CFA t − 1 in the DS due to a higher head rice ratio .",Sorting milled rice farmers,sorting milled rice farmer,PROMOTE,net benefits WS CFA t,w cfa t,1
returns of high quality paddy as a result of late N application for rice millers were determined as well .,late N application rice millers,n application rice miller,PROMOTE,returns quality paddy,return quality paddy,1
"However , due to the drastic decrease in rainfall amount during the last decades , which has allowed sea water to intrude some 200 km inland from the sea coast , widespread salinity hazard as well as problems on acid sulfate soils under the mangrove marshy land have become obvious .",rainfall has allowed sea water intrude sea coast salinity hazard problems acid sulfate soils marshy land have become obvious,rainfall ha allowed sea water intrude sea coast salinity hazard problem sulfate soil marshy land have become,PROMOTE,rainfall has allowed sea water intrude sea coast salinity hazard problems acid sulfate soils marshy land have become obvious,rainfall ha allowed sea water intrude sea coast salinity hazard problem sulfate soil marshy land have become,1
"In all cases , the growth of paddy plants in this area is prevented from the hazardous groundwater intrusion by thick clay layer of surface soils .",thick clay layer surface soils,clay layer surface soil,INHIBIT,growth paddy plants,growth paddy plant,1
Un produit du programme de transfert de technologies ex é cut é dans le cadre du Plan,Un produit du programme technologies,un produit du programme technology,INHIBIT,dans cadre du Plan,dans cadre du plan,1
The assessment and monitoring of water quality and soil are essential to ensure a profitable and sustainable irrigated agriculture in the delta alluvial plain .,assessment monitoring water quality soil,assessment monitoring water quality soil,PROMOTE,profitable sustainable irrigated agriculture delta alluvial plain,agriculture delta plain,1
"However , the promotion of private initiatives on direct production activities associated with transformation of the socio - economic environment ( salary or business income , experience on rice cultivation , access to rural credit , etc ) have promoted the production diversification other than rice crops such as tomatoes , green beans , onion , wheat , maize , sweet potato in the cold season as well as peanuts in hot season and also sugar cane crops and horticultural for exportation .",experience rice cultivation,experience rice cultivation,PROMOTE,diversification rice crops,diversification rice crop,1
It can be adsorbed on the soil exchange complexes which become more and more enriched and leads to soil sodicity phenomena .,soil exchange complexes,soil exchange complex,PROMOTE,soil sodicity phenomena,soil sodicity phenomenon,1
Salinization of water resources is also attributed to accumulation and leaching of salts from the soil which affects agricultural management .,accumulation leaching salts soil,accumulation leaching salt soil,PROMOTE,Salinization water resources,salinization water resource,1
is characterized by an enrichment of the coefficient corresponding sodium percentage that may increase the risk of sodisation soil .,enrichment coefficient corresponding sodium,enrichment coefficient corresponding sodium,PROMOTE,risk sodisation soil,risk sodisation soil,1
Chemical analyses of waters have been effectued to hydrochemical and hydrology laboratory of Geology department of University Cheikh Anta Diop of Dakar .,Chemical analyses waters,chemical analysis water,PROMOTE,hydrochemical hydrology laboratory department University,laboratory department university,1
Nitrogen application at panicle initiation and at booting stages in addition to the basal fertilizer application doubled rice grain yield and should be adopted under salinity condition across the Senegal River Delta .,basal fertilizer application,basal fertilizer application,PROMOTE,rice grain yield,rice grain yield,1
Proper fertilizer management option ( F2 ) reduced rice susceptibility index by 52 % which is equivalent to yield increased by 52 % compared to the yield under F1 fertilizer management option .,Proper fertilizer management option,proper fertilizer management option,INHIBIT,rice susceptibility index,rice susceptibility index,1
Nitrogen application at panicle initiation and at booting stages in addition to the basal fertilizer application doubled rice grain yield and should be adopted under salinity condition across the Senegal River Delta .,Nitrogen application initiation,nitrogen application initiation,PROMOTE,rice grain yield,rice grain yield,1
"As an alternative solution , the Diama dam completed in 1986 was primarily designed to block sea water intrusion within the Senegal River Valley ( SRV ) and now serves as a reservoir that facili - tates perennial irrigation .",Diama dam completed,diama dam completed,INHIBIT,sea water intrusion,sea water intrusion,1
The members of the thesis committee enabled me to identify the diversified trends found in the,members thesis committee,member thesis committee,PROMOTE,identify diversified trends found,identify trend found,2
"The development of contract farming raises the issue of poverty and inequality ( Bricas and Daviron ,",development contract farming,development contract farming,PROMOTE,issue poverty inequality,issue poverty inequality,2
"46 Nevertheless , delays in getting the credit issued generate varying impacts on farmer incomes through increase in technical efficiency ( Fall , 2006 ) .",delays getting credit issued,delay getting credit issued,PROMOTE,varying farmer incomes,varying farmer income,2
I prefer this term to “ local ” chains because they may operate at large geographical scales within the same country .,operate geographical scales same country,operate scale country,PROMOTE,prefer term local chains,prefer term chain,2
do not include this variable in the participation models because it is a prerequisite for participation in,is prerequisite participation,is prerequisite participation,INHIBIT,do include variable participation models,do include participation model,2
"The modernization of the agricultural sector and better market prospects associated with the ever - increasing demand for domestically produced crops , as a result of the government ’s ambition to reach self-sufficiency , have made the agricultural sector more attractive .",government ambition reach self-sufficiency,government ambition reach self-sufficiency,PROMOTE,modernization agricultural market prospects associated demand,modernization market prospect associated demand,1
"In addition , the prospects of gaining from credit in terms of increased capacity and performance could well be a driver to farmers ’ likelihood to enter the market and seek credit .",prospects gaining credit terms capacity performance,prospect gaining credit term capacity performance,PROMOTE,farmers likelihood enter market seek credit,farmer likelihood enter market credit,1
The gains measured in terms of yields increase tend to follow similar patterns .,gains terms yields,gain term yield,PROMOTE,tend follow similar patterns,tend follow pattern,1
"46 Nevertheless , delays in getting the credit issued generate varying impacts on farmer incomes through increase in technical efficiency ( Fall , 2006 ) .",delays getting credit issued,delay getting credit issued,PROMOTE,varying farmer incomes,varying farmer income,2
The members of the thesis committee enabled me to identify the diversified trends found in the,members thesis committee,member thesis committee,PROMOTE,identify diversified trends found,identify trend found,2
"The development of contract farming raises the issue of poverty and inequality ( Bricas and Daviron ,",development contract farming,development contract farming,PROMOTE,issue poverty inequality,issue poverty inequality,2
do not include this variable in the participation models because it is a prerequisite for participation in,is prerequisite participation,is prerequisite participation,INHIBIT,do include variable participation models,do include participation model,2
I prefer this term to “ local ” chains because they may operate at large geographical scales within the same country .,operate geographical scales same country,operate scale country,PROMOTE,prefer term local chains,prefer term chain,2
crops managed per active member in T and TI households allows assessment of the effect of irrigation on allocation of work capacity to traditional crops .,crops managed active member T TI households,crop managed member t ti household,PROMOTE,assessment irrigation allocation work capacity crops,assessment irrigation allocation work capacity crop,1
The driving force to crop productivity is the gradient of increasing rainfall from west to east that increases yield of rain fed crops and reduces water requirement of irrigated crops .,driving force crop productivity is gradient rainfall,driving force crop productivity is gradient rainfall,PROMOTE,yield rain fed crops,yield rain fed crop,1
The driving force to crop productivity is the gradient of increasing rainfall from west to east that increases yield of rain fed crops and reduces water requirement of irrigated crops .,driving force crop productivity is gradient rainfall,driving force crop productivity is gradient rainfall,INHIBIT,water requirement irrigated crops,water requirement crop,1
"However , because these operations are well separated in time , the same people may under - take these tasks and in that way one person active in cropping can manage about 1.2 ha over the entire year ( 0.5 ha in rain fed and 0.7 ha in ﬂood-recession ) .",operations are separated same people take tasks,operation are separated people take task,PROMOTE,operations are separated same people take tasks,operation are separated people take task,1
"However , even in these subsistence systems it is of interest to evaluate the ratio of net production to labor because it is a measure of the opportunity cost of agricultural labor .",is opportunity agricultural labor,is opportunity labor,PROMOTE,subsistence systems is interest evaluate net labor,subsistence system is interest evaluate labor,1
"For example , a long-term application of P fertilizers can increase soil extractable P over time as a consequence of low P uptake compared to P supplied by fertilizer .",P uptake compared P supplied,p uptake compared p supplied,INHIBIT,long-term application P fertilizers,application p fertilizer,1
"The main goal was to improve the productivity of the intensive double cropping system of irrigated rice by using a single management option of fertilizer for the two cropping seasons , instead of one recommendation for each season .",single management option fertilizer cropping seasons,management option fertilizer cropping season,PROMOTE,productivity cropping system irrigated rice,productivity cropping system rice,1
"The main objective of this study was to clarify that alternative fertilizer management options using one application of P and K fertilizers per year for the two cropping seasons of rice , combined with the recommended doses of N fertilizer for each season can reduce the costs of fertilization in rice double cropping systems .",alternative fertilizer management options application P K fertilizers cropping seasons rice combined recommended doses N fertilizer season,fertilizer management option application p k fertilizer cropping season rice combined dos n fertilizer season,PROMOTE,fertilization rice cropping systems,fertilization rice cropping system,1
"Because we wanted to study different potential reactions to forecasts and because we wanted to be able to speak with everyone about the forecasts , 16 farmers were recruited in each community .",wanted different potential reactions forecasts,wanted reaction forecast,PROMOTE,farmers were recruited community,farmer were recruited community,1
"Guidelines for workshop planning sought to ensure that all social groups in the community were represented , including participants of different ages , genders , educational levels , and landholding size .",Guidelines workshop planning,guideline workshop planning,PROMOTE,social groups community were represented including participants different ages genders educational landholding,group community were represented including participant age gender landholding,1
"Recent advances in climate modeling have resulted in increased ability to predict rainfall in many parts of the world with a lead time ranging from a few days to a few months , by using dynamical forecasts or statistical methods ( Njau , 2010 ) .",Recent advances climate modeling,advance climate modeling,PROMOTE,predict rainfall world lead,predict rainfall world,1
"Delayed sowing also exposes crops to greater weed pressure , because weeds begin growing earlier than the crop , so that the crop has less capacity to compete with the weeds , as well as to the risks associated with a shortened growing season ( Andrews , 1973 ; Stoop et al ., 1981 ; Vaksmann et al ., 1996 ) .",weeds begin growing,weed begin growing,PROMOTE,Delayed sowing exposes crops weed pressure,delayed sowing expose crop pressure,1
"Because we wanted to study different potential reactions to forecasts and because we wanted to be able to speak with everyone about the forecasts , 16 farmers were recruited in each community .",wanted be able speak everyone,wanted be speak everyone,PROMOTE,farmers were recruited community,farmer were recruited community,1
"Also the dry season cropping needs to pay special attention to the respect of cropping calendar so that the harvesting could be made long before the start of the rainy season , which allows farmers to have enough time to dry harvested paddy in the field and to prepare land for the rainy season cropping .",start rainy season,start rainy season,PROMOTE,farmers have enough dry harvested paddy field prepare land rainy season cropping,farmer have dry harvested paddy field prepare land rainy season cropping,1
fuel utilisation rate of power driven pumps in the pilot sites ( 20 % decrease in fuel consumption per ha in 12 pilot sites ) Utilisation of scheme repair and improvement manuals by engineers of SAED and rice farmers ( 60 % of 22 GIE of the pilot sites ),fuel utilisation power,fuel utilisation power,PROMOTE,Utilisation scheme repair manuals engineers rice farmers,utilisation scheme repair manual engineer rice farmer,1
"The Master Plan was formulated to set up the necessary measures for ( i ) provision of better rice production environment which allow paddy farmers to obtain more income and sustain paddy cultivation , ( ii ) increased production of high quality domestic rice to meet the consumers ’ needs and ( iii ) improvement of various conditions to assure the smooth marketing of domestic rice .",provision rice environment,provision rice environment,PROMOTE,paddy farmers obtain more income,paddy farmer obtain more income,1
Rainy season cropping is often canceled due to the delayed harvest of dry season cropping because of the delay in the procurement of fund for starting cropping or in the access to tractor service for land preparation .,delayed harvest dry season cropping,delayed harvest season cropping,PROMOTE,Rainy season cropping,rainy season cropping,1
"Through the technical guidance , PAPRIZ tried to raise awareness on rice value chain to realize the importance of the value chain establishment .",awareness rice value chain,awareness rice value chain,PROMOTE,realize value chain establishment,realize value chain establishment,1
"However , none of those plans has been materialized due to the dissolution of the union induced by the internal conflict among the union members .",dissolution union induced internal conflict,dissolution union induced conflict,PROMOTE,none plans has been materialized,none plan ha been materialized,1
"The Master Plan was formulated to set up the necessary measures for ( i ) provision of better rice production environment which allow paddy farmers to obtain more income and sustain paddy cultivation , ( ii ) increased production of high quality domestic rice to meet the consumers ’ needs and ( iii ) improvement of various conditions to assure the smooth marketing of domestic rice .",provision rice environment,provision rice environment,PROMOTE,sustain paddy cultivation,sustain paddy cultivation,1
Rainy season cropping is often canceled due to the delayed harvest of dry season cropping because of the delay in the procurement of fund for starting cropping or in the access to tractor service for land preparation .,delay procurement fund starting,delay procurement fund starting,PROMOTE,delayed harvest dry season cropping,delayed harvest season cropping,1
"Organic materials also improve the functioning of the soil agroecosystem by increasing soil carbon content , water retention potential and by fostering a diversity of soil micro and macro fauna , many of which may be important to optimizing crop nutrient supplies .",water retention potential,water retention potential,PROMOTE,functioning soil agroecosystem,functioning soil agroecosystem,1
( 6 ) Manual weed control reduces farmers ’ exposure to agrochemicals that are potentially harmful to their health .,Manual weed control,manual weed control,INHIBIT,farmers exposure agrochemicals,farmer exposure agrochemicals,1
"Organic materials also improve the functioning of the soil agroecosystem by increasing soil carbon content , water retention potential and by fostering a diversity of soil micro and macro fauna , many of which may be important to optimizing crop nutrient supplies .",diversity soil micro macro fauna,diversity soil micro macro fauna,PROMOTE,functioning soil agroecosystem,functioning soil agroecosystem,1
"Organic materials also improve the functioning of the soil agroecosystem by increasing soil carbon content , water retention potential and by fostering a diversity of soil micro and macro fauna , many of which may be important to optimizing crop nutrient supplies .",soil carbon content,soil carbon content,PROMOTE,functioning soil agroecosystem,functioning soil agroecosystem,1
Phosphate application timing and ﬁeld size were yield deter - minants in SN 5 and SN 6 in Fig. 3a .,Phosphate application timing,phosphate application timing,INHIBIT,minants SN SN Fig. 3a,minants sn sn 3a,1
Delay in cropping in the wet season results in the risk of spikelet sterility caused by cold temperatures .,Delay wet season,delay wet season,PROMOTE,risk sterility caused cold,risk sterility caused,1
Infrastructure investments and removal of distorting regulations may improve the functioning of markets and strengthen incentives to conserve land .,removal distorting regulations,removal distorting regulation,PROMOTE,incentives conserve land,incentive conserve land,1
Credit market imperfections in combination with poverty may lead to high discount rates and / or short planning horizons reducing incentives to invest in conservation • Policy distortions .,Credit market imperfections poverty,credit market imperfection poverty,INHIBIT,planning horizons incentives invest,planning horizon incentive invest,1
• Low and declining crop productivity • Low livestock productivity • Limited availability of organic fertilizer of good quality • Food insecurity due to frequent droughts • Poor market access • Low cash income • Free roaming animals • Dependence on oxen for tillage • High and increasing population pressure,frequent droughts market access cash income Free roaming animals,drought market access cash income free roaming animal,PROMOTE,crop productivity livestock productivity availability organic fertilizer quality Food insecurity,crop productivity livestock productivity availability fertilizer quality food insecurity,1
Irrigation schemes in the Senegal River valley often need rehabilitation because of land leveling problems and poor condition of irrigation canals .,land leveling problems,land leveling problem,PROMOTE,Irrigation schemes Senegal River valley need rehabilitation,irrigation scheme senegal river valley rehabilitation,1
"Air temperatures in February to March are relatively low , slowing down crop development in the dry season .",Air temperatures in February to March,air temperature in february to march,PROMOTE,crop development dry season,crop development season,1
Kebbeh et al. ( 2002 ) demonstrated that information on improved and integrated crop management ( ICM ) is crucial to help farmers bridge this yield gap .,information integrated crop management,information integrated crop management,PROMOTE,farmers bridge yield gap,farmer bridge yield gap,1
"Recent initiatives in upgrading the rice value chain have led to the constraint of insufficient supply of paddy rice in the SRV , implying that investment in local rice productivity — — in order to scale up local production — — is crucial at this stage of development .",Recent initiatives upgrading rice value chain,initiative upgrading rice value chain,INHIBIT,insufficient supply paddy rice SRV,supply rice srv,2
"Coping with adversity is difficult in the SRV as irrigation schemes often need rehabilitation because of land levelling problems , poor conditions of irrigation canals and inadequate land prepara - tion .",land levelling problems,land levelling problem,PROMOTE,irrigation schemes need rehabilitation,irrigation scheme need rehabilitation,2
"In irrigated rice production in the SRV , pre - emergence herbicide application substantially facilitates manu - al weeding labour by reducing initial weed infestation levels ( Demont et al. 2009 ; Rodenburg and Johnson 2009 ) .",pre emergence herbicide application,pre emergence herbicide application,PROMOTE,al weeding labour,al weeding labour,2
"We found that due to the exacerbation of biological and institutional constraints in the SRV , rice growers had difficulties in maintaining productivity of their land .",biological institutional SRV rice growers had maintaining productivity,srv rice grower had maintaining productivity,PROMOTE,biological institutional SRV rice growers had maintaining productivity,srv rice grower had maintaining productivity,2
"Another cause of delays in rice planting , which can stretch over multiple seasons , is the irregular availability of machinery for soil preparation and post-harvest operations .",irregular availability machinery soil preparation post-harvest operations,availability machinery soil preparation operation,PROMOTE,delays rice planting,delay rice planting,2
"Better awareness of through capacity enhancements on biotic and abiotic stresses , and more generally on the effects of climate change on the environment , will help to achieve this objective .",climate environment help achieve objective,climate environment help achieve objective,PROMOTE,climate environment help achieve objective,climate environment help achieve objective,1
"development of improved varieties is a bottleneck , which does not promote a good dissemination and appropriation of new improved varieties in farmers ' fields , despite strong demand from farmers in efficient varieties .",development varieties is bottleneck,development variety is bottleneck,PROMOTE,dissemination appropriation new varieties farmers fields,dissemination appropriation variety farmer field,1
"Rice producers were hit hard because they could not sell the harvested paddy rice to private merchants even if the producers agreed on a price of 4,000 F CFA ( 5 ) .",sell harvested paddy rice private merchants producers agreed F CFA,sell paddy rice merchant producer agreed f cfa,INHIBIT,Rice producers were hit,rice producer were hit,1
"However , because so many peasants in other villages in the Lower Senegal River also cultivated these crops in response to the high 2008/09 prices , the producer price for zucchini and a solanaceous crop declined in 2009/10 .",peasants villages cultivated crops response,peasant village cultivated crop response,INHIBIT,producer zucchini solanaceous crop,producer zucchini crop,1
"The two rice-cropping seasons before the tomato-cropping season in 2009/10 resulted in massive arrears to the Peasant Organization : 13,723,109 F CFA .",rice-cropping seasons tomato-cropping season,season tomato-cropping season,PROMOTE,arrears Peasant Organization,arrears peasant organization,1
"Therefore , they gradually began to concentrate on and depend on rice cropping in eastern ﬂ oodplain farmland because they needed to continue their costly farm management .",needed continue costly farm management,needed continue farm management,PROMOTE,began concentrate depend rice cropping,began concentrate depend rice cropping,1
"During the rice-cropping season of 2009/10 , the Peasant Organization requested that members repay their debt to the organization in cash rather than paddy rice because the Peasant Organization already had a vast stock of unsellable paddy rice in storage .",had vast stock unsellable paddy rice storage,had stock paddy rice storage,PROMOTE,members repay debt organization cash paddy rice,member repay debt organization cash paddy rice,1
They also grew zucchini and a solanaceous crop in 2009/10 because the producer price for these crops rose signiﬁ cantly in 2008/09 .,producer crops rose signifi,producer crop rose,PROMOTE,grew zucchini solanaceous crop,grew zucchini crop,1
The expansion of irrigation canals to the sandy-plain ﬁ elds enabled the villagers to cultivate tomato crops in the sandy-plain farmland and thus to choose farmland for tomato cropping from both the ﬂ oodplain and the sandy plain when developing their annual cropping schedule .,expansion irrigation canals sandy-plain fi elds,expansion irrigation canal eld,PROMOTE,villagers tomato crops sandy-plain farmland choose farmland tomato cropping fl oodplain sandy plain developing cropping schedule,villager tomato crop farmland choose farmland tomato cropping oodplain sandy plain developing cropping schedule,1
"For example , many villagers grew onion because the government keeps the producer price for onions stable through import control .",government keeps producer onions stable,government keep producer onion,PROMOTE,example villagers grew onion,example villager grew onion,1
